it nTrial nWin nCatch RMSerror.start RMSerror.antic RMSerror.win RMSerror.nowin GLT.w-n GLT.a-w GLT.a-n GLT.a-w-n r.win r.nowin
1 36 9 0 0.32060 0.29380 0.38120 0.32090 0.26310 0.52370 0.48460 0.77580 0.057 0.144
2 36 9 0 0.33040 0.29010 0.41890 0.32080 0.26880 0.50510 0.44290 0.75710 -0.001 0.107
3 36 9 0 0.29670 0.28770 0.34250 0.30460 0.27170 0.49010 0.45650 0.70860 0.069 0.127
4 36 9 0 0.33560 0.29340 0.35820 0.34770 0.27700 0.51780 0.51190 0.78520 0.110 0.085
5 36 9 0 0.30380 0.29000 0.35000 0.32010 0.26910 0.47400 0.43880 0.69690 0.084 0.073
6 36 9 0 0.33730 0.29580 0.40940 0.33300 0.27110 0.49200 0.43900 0.74310 0.015 0.095
7 36 9 0 0.27800 0.29270 0.34710 0.29330 0.28430 0.46860 0.42180 0.66140 0.034 0.119
8 36 9 0 0.31840 0.29210 0.41530 0.32610 0.30620 0.49510 0.43180 0.72890 0.084 0.018
9 36 9 0 0.31540 0.29620 0.38780 0.32680 0.28570 0.48610 0.43950 0.71920 0.100 0.074
10 36 9 0 0.30540 0.29050 0.35960 0.32280 0.30940 0.50930 0.47910 0.73640 0.140 0.096
11 36 9 0 0.29390 0.31320 0.36430 0.31300 0.27270 0.43350 0.39670 0.63510 -0.015 0.058
12 36 9 0 0.32260 0.29220 0.39270 0.32660 0.28390 0.49950 0.45140 0.74040 0.071 0.080
13 36 9 0 0.31370 0.29100 0.36710 0.32500 0.26200 0.48450 0.45280 0.72590 0.081 0.068
14 36 9 0 0.35240 0.29170 0.39150 0.37010 0.28130 0.49480 0.46650 0.76710 0.013 0.077
15 36 9 0 0.30170 0.28830 0.38530 0.29400 0.28500 0.48190 0.42040 0.69250 0.030 0.084
16 36 9 0 0.34850 0.29050 0.37440 0.36570 0.27250 0.51190 0.49580 0.78940 0.082 0.096
17 36 9 0 0.28170 0.29640 0.34700 0.29390 0.25930 0.44010 0.40170 0.63780 -0.020 0.119
