iteration nWin nCatch sum contrast
w27_c05_0001 27 5 0.46380 0.75190
w27_c05_0002 27 5 0.47720 0.78700
w27_c05_0003 27 5 0.46000 0.71810
w27_c05_0004 27 5 0.48850 0.82090
w27_c05_0005 27 5 0.47230 0.77860
w27_c05_0006 27 5 0.45890 0.73750
w27_c05_0007 27 5 0.46250 0.74740
w27_c05_0008 27 5 0.46800 0.75990
w27_c05_0009 27 5 0.46700 0.75610
w27_c05_0010 27 5 0.46130 0.74560
w27_c05_0011 27 5 0.46610 0.75000
w27_c05_0012 27 5 0.46290 0.75070
w27_c05_0013 27 5 0.46630 0.76510
w27_c05_0014 27 5 0.46460 0.76500
w27_c05_0015 27 5 0.46970 0.75600
w27_c05_0016 27 5 0.48260 0.81040
w27_c05_0017 27 5 0.46380 0.73780
w27_c05_0018 27 5 0.46340 0.75170
w27_c05_0019 27 5 0.46910 0.76460
w27_c05_0020 27 5 0.48580 0.81590
w27_c05_0021 27 5 0.47410 0.77740
w27_c05_0022 27 5 0.46410 0.74980
w27_c05_0023 27 5 0.46810 0.76340
w27_c05_0024 27 5 0.46590 0.75380
w27_c05_0025 27 5 0.46320 0.74480
w27_c05_0026 27 5 0.48380 0.79370
w27_c05_0027 27 5 0.46590 0.75270
w27_c05_0028 27 5 0.47110 0.77270
w27_c05_0029 27 5 0.47830 0.75950
w27_c05_0030 27 5 0.48650 0.81350
w27_c05_0031 27 5 0.46440 0.73620
w27_c05_0032 27 5 0.47420 0.77780
w27_c05_0033 27 5 0.48220 0.79940
w27_c05_0034 27 5 0.46330 0.75920
w27_c05_0035 27 5 0.46890 0.76130
w27_c05_0036 27 5 0.46520 0.76840
w27_c05_0037 27 5 0.46910 0.76450
w27_c05_0038 27 5 0.46100 0.75100
w27_c05_0039 27 5 0.47430 0.78070
w27_c05_0040 27 5 0.47270 0.77940
w27_c05_0041 27 5 0.48450 0.81020
w27_c05_0042 27 5 0.46910 0.74460
w27_c05_0043 27 5 0.46300 0.74370
w27_c05_0044 27 5 0.46940 0.77130
w27_c05_0045 27 5 0.46540 0.76910
w27_c05_0046 27 5 0.47520 0.77510
w27_c05_0047 27 5 0.47540 0.78060
w27_c05_0048 27 5 0.48020 0.79960
w27_c05_0049 27 5 0.47600 0.78410
w27_c05_0050 27 5 0.47900 0.79080
w27_c10_0001 27 10 0.46310 0.73020
w27_c10_0002 27 10 0.46000 0.74790
w27_c10_0003 27 10 0.45870 0.73040
w27_c10_0004 27 10 0.45980 0.74820
w27_c10_0005 27 10 0.46560 0.76320
w27_c10_0006 27 10 0.46610 0.76170
w27_c10_0007 27 10 0.46310 0.76380
w27_c10_0008 27 10 0.45780 0.73560
w27_c10_0009 27 10 0.46230 0.74160
w27_c10_0010 27 10 0.46710 0.77160
w27_c10_0011 27 10 0.46850 0.76960
w27_c10_0012 27 10 0.47680 0.77920
w27_c10_0013 27 10 0.45350 0.72410
w27_c10_0014 27 10 0.45900 0.73900
w27_c10_0015 27 10 0.46880 0.77060
w27_c10_0016 27 10 0.46410 0.74520
w27_c10_0017 27 10 0.46400 0.74480
w27_c10_0018 27 10 0.45970 0.74510
w27_c10_0019 27 10 0.47070 0.76940
w27_c10_0020 27 10 0.46160 0.74060
w27_c10_0021 27 10 0.47120 0.74920
w27_c10_0022 27 10 0.46100 0.74230
w27_c10_0023 27 10 0.47430 0.77480
w27_c10_0024 27 10 0.46440 0.75190
w27_c10_0025 27 10 0.46320 0.75130
w27_c10_0026 27 10 0.47860 0.79670
w27_c10_0027 27 10 0.46140 0.74160
w27_c10_0028 27 10 0.46350 0.75870
w27_c10_0029 27 10 0.46110 0.75030
w27_c10_0030 27 10 0.47020 0.76820
w27_c10_0031 27 10 0.46950 0.76590
w27_c10_0032 27 10 0.45340 0.71490
w27_c10_0033 27 10 0.46400 0.74160
w27_c10_0034 27 10 0.46000 0.74220
w27_c10_0035 27 10 0.46440 0.73720
w27_c10_0036 27 10 0.48200 0.79740
w27_c10_0037 27 10 0.46480 0.76250
w27_c10_0038 27 10 0.45890 0.72710
w27_c10_0039 27 10 0.46730 0.75350
w27_c10_0040 27 10 0.45530 0.72950
w27_c10_0041 27 10 0.47310 0.76690
w27_c10_0042 27 10 0.45820 0.73600
w27_c10_0043 27 10 0.46250 0.72590
w27_c10_0044 27 10 0.46810 0.76730
w27_c10_0045 27 10 0.46500 0.75820
w27_c10_0046 27 10 0.47250 0.76000
w27_c10_0047 27 10 0.47360 0.77460
w27_c10_0048 27 10 0.46610 0.74150
w27_c10_0049 27 10 0.46380 0.74570
w27_c10_0050 27 10 0.46660 0.75350
w27_c15_0001 27 15 0.47770 0.78500
w27_c15_0002 27 15 0.46600 0.75790
w27_c15_0003 27 15 0.48440 0.78010
w27_c15_0004 27 15 0.45980 0.74810
w27_c15_0005 27 15 0.46200 0.75560
w27_c15_0006 27 15 0.47300 0.77840
w27_c15_0007 27 15 0.46060 0.74520
w27_c15_0008 27 15 0.45430 0.72190
w27_c15_0009 27 15 0.45900 0.74480
w27_c15_0010 27 15 0.46520 0.76350
w27_c15_0011 27 15 0.46250 0.74180
w27_c15_0012 27 15 0.46580 0.75560
w27_c15_0013 27 15 0.46400 0.74520
w27_c15_0014 27 15 0.46200 0.73690
w27_c15_0015 27 15 0.45950 0.74680
w27_c15_0016 27 15 0.45300 0.72960
w27_c15_0017 27 15 0.47590 0.78370
w27_c15_0018 27 15 0.46300 0.73700
w27_c15_0019 27 15 0.46380 0.75260
w27_c15_0020 27 15 0.47440 0.78670
w27_c15_0021 27 15 0.46490 0.74450
w27_c15_0022 27 15 0.46830 0.76140
w27_c15_0023 27 15 0.46640 0.74460
w27_c15_0024 27 15 0.47480 0.77430
w27_c15_0025 27 15 0.46930 0.74650
w27_c15_0026 27 15 0.46550 0.76070
w27_c15_0027 27 15 0.46880 0.74990
w27_c15_0028 27 15 0.47570 0.78390
w27_c15_0029 27 15 0.47560 0.78550
w27_c15_0030 27 15 0.47000 0.77430
w27_c15_0031 27 15 0.46100 0.71870
w27_c15_0032 27 15 0.46900 0.75470
w27_c15_0033 27 15 0.48520 0.77070
w27_c15_0034 27 15 0.47010 0.75290
w27_c15_0035 27 15 0.46830 0.76710
w27_c15_0036 27 15 0.47570 0.76580
w27_c15_0037 27 15 0.47320 0.75170
w27_c15_0038 27 15 0.45880 0.71950
w27_c15_0039 27 15 0.46870 0.75030
w27_c15_0040 27 15 0.46310 0.74670
w27_c15_0041 27 15 0.46520 0.74280
w27_c15_0042 27 15 0.45720 0.73590
w27_c15_0043 27 15 0.46040 0.73560
w27_c15_0044 27 15 0.46200 0.74040
w27_c15_0045 27 15 0.45730 0.74460
w27_c15_0046 27 15 0.45450 0.73430
w27_c15_0047 27 15 0.45760 0.72800
w27_c15_0048 27 15 0.46860 0.76340
w27_c15_0049 27 15 0.47400 0.77740
w27_c15_0050 27 15 0.46380 0.74780
w27_c20_0001 27 20 0.46080 0.73110
w27_c20_0002 27 20 0.45910 0.71810
w27_c20_0003 27 20 0.46710 0.76170
w27_c20_0004 27 20 0.46750 0.75470
w27_c20_0005 27 20 0.46450 0.73090
w27_c20_0006 27 20 0.45730 0.73800
w27_c20_0007 27 20 0.46830 0.74260
w27_c20_0008 27 20 0.46190 0.75590
w27_c20_0009 27 20 0.45750 0.73670
w27_c20_0010 27 20 0.45850 0.74660
w27_c20_0011 27 20 0.45620 0.72060
w27_c20_0012 27 20 0.45940 0.74150
w27_c20_0013 27 20 0.46620 0.76560
w27_c20_0014 27 20 0.46990 0.74810
w27_c20_0015 27 20 0.46590 0.74660
w27_c20_0016 27 20 0.46790 0.76290
w27_c20_0017 27 20 0.45970 0.72720
w27_c20_0018 27 20 0.47300 0.75850
w27_c20_0019 27 20 0.46920 0.75410
w27_c20_0020 27 20 0.45270 0.73350
w27_c20_0021 27 20 0.46690 0.75110
w27_c20_0022 27 20 0.45880 0.72550
w27_c20_0023 27 20 0.47240 0.76490
w27_c20_0024 27 20 0.45810 0.72720
w27_c20_0025 27 20 0.46490 0.73900
w27_c20_0026 27 20 0.46300 0.73720
w27_c20_0027 27 20 0.46970 0.76840
w27_c20_0028 27 20 0.46340 0.75600
w27_c20_0029 27 20 0.46390 0.74250
w27_c20_0030 27 20 0.46440 0.75240
w27_c20_0031 27 20 0.46470 0.76410
w27_c20_0032 27 20 0.45940 0.74840
w27_c20_0033 27 20 0.45650 0.72910
